NU_INSCRICAO,NO_MUNICIPIO_PROVA,TP_ESCOLA,NU_NOTA_MT,NU_NOTA_REDACAO
3088132,Assis,2,471.4,500.0
992928,Assis,2,426.4,880.0
2823795,Assis,3,768.8,820.0
1125197,Assis,2,412.0,580.0
2645945,Assis,3,594.6,540.0
189347,Assis,2,431.7,680.0
1927287,Assis,2,725.1,940.0
1083989,Assis,2,410.4,560.0
980073,Assis,2,677.4,800.0
2396173,Assis,3,406.6,660.0
1426682,Assis,2,467.4,520.0
1861756,Assis,2,604.7,640.0
814935,Assis,2,650.5,780.0
1484730,Assis,3,681.3,820.0
113667,Assis,2,646.7,600.0
2781603,Assis,2,506.5,540.0
4171110,Assis,2,553.5,420.0
285860,Assis,2,579.9,700.0
2798889,Assis,2,577.8,740.0
798902,Assis,3,688.9,740.0
675836,Assis,2,692.8,920.0
324954,Assis,2,630.5,720.0
1148611,Assis,2,470.0,700.0
770945,Assis,3,409.6,880.0
2522236,Assis,2,693.2,620.0
1400206,Assis,2,576.3,860.0
1299990,Assis,2,544.7,540.0
514873,Assis,2,510.8,620.0
1122263,Assis,2,617.7,660.0
1185590,Assis,2,410.7,540.0
3003269,Assis,3,499.1,580.0
1159767,Assis,2,418.3,440.0
485951,Assis,3,448.6,800.0
1556501,Assis,3,851.4,880.0
3546500,Assis,2,546.5,560.0
659554,Assis,3,649.0,880.0
1197573,Assis,2,465.8,620.0
1125673,Assis,2,422.3,520.0
567403,Assis,2,442.1,640.0
1151228,Assis,2,386.3,500.0
1157888,Assis,2,479.9,560.0
4189904,Assis,2,614.2,740.0
1295546,Assis,2,425.8,540.0
1395870,Assis,2,649.8,760.0
2446872,Assis,2,585.8,600.0
2795042,Assis,2,558.1,920.0
318633,Assis,2,500.9,660.0
1329489,Assis,2,449.4,540.0
2956202,Assis,2,443.0,540.0
1301203,Assis,2,570.8,580.0
3034322,Assis,2,526.7,520.0
3592141,Assis,2,435.0,620.0
2741525,Assis,3,607.2,900.0
218324,Assis,2,575.8,840.0
718672,Assis,2,593.5,640.0
427530,Assis,3,445.4,920.0
2417083,Assis,2,451.6,600.0
1630143,Assis,2,510.3,840.0
2338602,Assis,2,453.9,900.0
2992912,Assis,2,392.5,660.0
3254497,Assis,2,411.2,560.0
2539774,Assis,2,495.2,460.0
830,Assis,2,590.3,660.0
2218572,Assis,2,723.3,900.0
3376160,Assis,2,615.1,840.0
2931637,Assis,3,527.9,580.0
1184907,Assis,2,565.2,740.0
1135570,Assis,2,619.3,700.0
244536,Assis,2,380.8,760.0
305092,Assis,2,481.6,680.0
2407096,Assis,3,644.9,740.0
1125364,Assis,2,734.1,740.0
2587194,Assis,3,624.8,720.0
2064707,Assis,2,532.6,880.0
2562737,Assis,2,531.3,680.0
1156995,Assis,2,793.2,840.0
3614425,Assis,3,464.3,940.0
1680813,Assis,2,424.8,480.0
3373208,Assis,3,542.2,720.0
39677,Assis,2,487.1,520.0
1981507,Assis,2,665.2,640.0
2033619,Assis,3,580.0,520.0
1159777,Assis,2,598.1,640.0
1080013,Assis,2,419.8,540.0
1498050,Assis,3,610.5,680.0
1157745,Assis,2,572.5,640.0
1395589,Assis,2,527.7,640.0
306964,Assis,2,701.3,860.0
3583805,Assis,2,387.6,0.0
2970884,Assis,2,460.4,540.0
847955,Assis,2,679.8,660.0
2839625,Assis,2,605.0,880.0
2892382,Assis,2,746.3,800.0
2265009,Assis,2,521.9,600.0
3317626,Assis,3,577.7,680.0
1043137,Assis,2,490.5,520.0
2386722,Assis,2,438.1,640.0
2364698,Assis,3,417.5,480.0
1184284,Assis,2,399.8,600.0
83809,Assis,2,661.7,900.0
2702497,Assis,2,645.5,600.0
752691,Assis,2,417.8,640.0
30064,Assis,2,570.3,840.0
419812,Assis,3,556.7,860.0
2295325,Assis,3,687.0,920.0
3770347,Assis,2,639.7,400.0
1148012,Assis,2,418.2,640.0
1125190,Assis,2,688.2,720.0
1755507,Assis,3,677.5,680.0
1437557,Assis,2,468.1,660.0
2031712,Assis,2,620.5,860.0
1034115,Assis,2,570.4,580.0
1356251,Assis,2,674.4,820.0
2760900,Assis,2,423.1,500.0
2109073,Assis,2,463.0,820.0
1543160,Assis,2,644.5,600.0
321194,Assis,2,459.8,520.0
5219,Assis,2,662.7,880.0
245572,Assis,2,706.3,600.0
1125272,Assis,2,535.9,620.0
1705465,Assis,3,835.9,920.0
3967064,Assis,3,477.1,620.0
2704291,Assis,2,447.5,420.0
2296185,Assis,2,392.8,0.0
2958200,Assis,2,396.3,560.0
1544172,Assis,2,489.6,620.0
3649941,Assis,2,619.7,560.0
1125180,Assis,2,402.8,700.0
585822,Assis,3,765.7,920.0
3559664,Assis,3,524.9,720.0
3401944,Assis,3,484.6,580.0
577949,Assis,2,424.2,760.0
703509,Assis,2,455.2,680.0
1588319,Assis,2,535.5,880.0
2922241,Assis,2,384.1,200.0
1084869,Assis,2,413.3,480.0
2782789,Assis,2,532.3,580.0
2997388,Assis,2,392.5,460.0
1543415,Assis,2,741.4,720.0
569200,Assis,3,573.5,820.0
1125177,Assis,2,507.9,340.0
919300,Assis,3,837.2,820.0
2805514,Assis,2,602.3,600.0
